[00:00:00][ZH] 那我講,那家長可能看了報告之後
[00:00:02][ZH] 就會覺得好吧,那可能就是
[00:00:04][ZH] 那其實心理師做的事情
[00:00:05][ZH] 跟醫生做的事情也沒有差太多啦
[00:00:07][ZH] 他只是多了一個按電腦
[00:00:10][ZH] 然後可能跟他講比較久
[00:00:12][ZH] 然後也許會做個那個智力測驗
[00:00:14][ZH] 然後就是讓他待久一點
[00:00:15][ZH] 然後就會反照
[00:00:16][ZH] 那反照之後心理師的行為描述
[00:00:18][ZH] 就可以寫的比較多一點這樣
[00:00:20][ZH] 是這樣
[00:00:22][ZH] 所以我常常跟家長說
[00:00:24][ZH] 你為什麼會覺得說小孩來這邊才一次
[00:00:27][ZH] 然後這邊做一個小時
[00:00:29][ZH] 你就覺得心理師的觀察是準確的
[00:00:32][ZH] 我常常會很懷疑這件事情
[00:00:35][ZH] 那個CPT 說實話是讓我們去按
[00:00:38][ZH] 但是在一些比較輕微的
[00:00:41][ZH] 或是一些比較高智商的
[00:00:43][ZH] 他們做出來的CPT常常是正常的
[00:00:45][ZH] 就是跟你在一般日常生活中
[00:00:48][ZH] 你沒有觀察的完全不一樣
[00:00:50][ZH] 所以加上有時候也會蠻驚訝
[00:00:51][ZH] 為什麼他是做出來做得這麼好
[00:00:55][ZH] 原因就是因為他本身的那個
[00:00:57][ZH] 敏感度本來就沒有很高
[00:00:59][ZH] 然後再加上他那個
[00:01:00][ZH] 其實有些小孩就喜歡電腦見面嘛
[00:01:02][ZH] 他就覺得電腦見面有趣
[00:01:03][ZH] 他有那個成就感
[00:01:05][ZH] 他就給他就是還蠻專心在按
[00:01:07][ZH] 那有些小孩很好笑
[00:01:08][ZH] 他是在那邊按
[00:01:09][ZH] 然後就扭按扭去
[00:01:10][ZH] 扭按扭去按
[00:01:11][ZH] 然後這樣子
[00:01:11][ZH] 然後問心理師說好了沒這樣子
[00:01:13][ZH] 但是他按出來指標
[00:01:14][ZH] 還算在正常的範圍內
[00:01:17][ZH] 對
[00:01:17][ZH] 所以有時候心理師
[00:01:18][ZH] 他也會寫心理微觀察啦
[00:01:19][ZH] 雖然指標完全正常
[00:01:21][ZH] 但是他會告訴你說
[00:01:22][ZH] 欸他那天按的時候
[00:01:23][ZH] 其實蠻躁動的
[00:01:24][ZH] 然後不耐煩
[00:01:25][ZH] 然後還七分鐘的時候
[00:01:26][ZH] 就開始問心理說
[00:01:27][ZH] 哎,好了沒啊,怎麼那麼久啊,這樣子
[00:01:30][ZH] 那這個大概也是我們可以做診斷的一個參考
[00:01:34][ZH] 那所以就是說,如果說他很明顯的時候
[00:01:38][ZH] 我們在看門診完大概就可以診斷了
[00:01:41][ZH] 尤其是老師和新班老師、家長自己都這樣覺得
[00:01:44][ZH] 那大概就是可以去討論說
[00:01:47][ZH] 接下來我們要怎麼辦這樣子
[00:01:49][ZH] 你困擾到這個程度
[00:01:50][ZH] 那很多時候會可能需要用藥
[00:01:53][ZH] 那所以我們在講神經多樣性的時候
[00:01:55][ZH] 其實我們那時候精神醫學會有點擔心
[00:01:57][ZH] 因為我們有一陣子大家都在講去疾病話
[00:02:00][ZH] 就是覺得吃藥就是不好的
[00:02:02][ZH] 藥就是毒這樣子
[00:02:03][ZH] 但是我們自己在臨床上這樣子照顧下來
[00:02:08][ZH] 有些小孩子不讓他吃藥
[00:02:10][ZH] 真的是舉步難行
[00:02:12][ZH] 就是不知道要怎麼去安防他
[00:02:15][ZH] 因為他就是很難配合
[00:02:17][ZH] 有些比較小的小孩
[00:02:19][ZH] 我們當然就會讓他去做職能治療
[00:02:20][ZH] 可是有些職能治療師就說
[00:02:23][ZH] 媽媽我覺得她可能來吃藥
[00:02:25][ZH] 吃了藥再來做治療會比較好
[00:02:27][ZH] 因為她根本就沒辦法專心很久
[00:02:29][ZH] 那教師關維持她的秩序
[00:02:31][ZH] 她可能花20分鐘
[00:02:32][ZH] 那剩下10分鐘她能做什麼
[00:02:34][ZH] 那10分鐘的注意力又是非常零碎的
[00:02:37][ZH] 所以可能就是在那邊半個小時
[00:02:40][ZH] 什麼事情都沒有做到這樣
[00:02:41][ZH] 所以就是說
[00:02:43][ZH] 有時候還是需要讓她的大腦能夠
[00:02:45][ZH] 因為藥物有回覆到正常的功能
[00:02:48][ZH] 然後她才能正確地做她執行
[00:02:50][ZH] 執行功能該做的事情
[00:02:52][ZH] 它才能吸收、才能學習
[00:02:54][ZH] 然後才能增加它跟其他腦虛的連結
[00:02:56][ZH] 那你都不做的時候
